date,forecast,lower_ci,upper_ci,market,internal_class
2025-10-01,40.43959382920739,-1324942623.5721507,1324942704.4513383,Los Angeles,O
2025-01-01,84.65036630940801,81.95997766742164,87.34075495139439,Manhattan,A
2025-04-01,84.71319350727627,80.52205053910912,88.90433647544343,Manhattan,A
2025-07-01,84.23287573424483,78.81955513822062,89.64619633026904,Manhattan,A
2025-10-01,83.85235374212274,77.40405874959218,90.30064873465331,Manhattan,A
2025-01-01,61.111290678045656,60.052449727472215,62.170131628619096,Manhattan,O
2025-04-01,61.217023000900134,59.23748907009947,63.1965569317008,Manhattan,O
2025-07-01,61.03603964875013,58.30704036278214,63.76503893471813,Manhattan,O
2025-10-01,61.07004050952591,57.71803186672127,64.42204915233054,Manhattan,O
2024-10-01,84.84483119850144,-1740.8242792793394,1910.5139416763423,Nashville,A
